,amount_transactions,number_transactions,breakdown
785,70004401.5,3.0,Millions
786,4999985.0,9.0,Millions
787,2000000.0,3.0,Millions
788,1201900.23,1.0,Millions
789,1481335.25,2.0,Millions
790,1798200.0,1.0,Millions
791,1853085.36,1.0,Millions
792,3186505.32,1.0,Millions
793,3186505.32,1.0,Millions
794,1056774.07,4.0,Millions
795,85615750.67,12.0,Millions
796,102409321.76,50.0,Millions
797,254830996.1,21.0,Millions
798,2863000.0,16.0,Millions
799,2573057.2,15.0,Millions
800,2741500.0,4.0,Millions
801,3240000.0,1.0,Millions
802,3397070.0,1.0,Millions
803,3500000.0,3.0,Millions
804,3561111.36,3.0,Millions
805,2993552.18,3.0,Millions
806,5870272.71,3.0,Millions
807,4967922.12,2.0,Millions
808,15457176.81,4.0,Millions
809,8697026.81,19.0,Millions
810,1200000.0,2.0,Millions
811,1866501.98,5.0,Millions
812,1420000.0,5.0,Millions
813,2247010.0,6.0,Millions
814,2598750.0,15.0,Millions
815,5952200.0,6.0,Millions
816,33000000.0,2.0,Millions
817,45000000.0,2.0,Millions
818,11500000.0,1.0,Millions
819,57356000.0,4.0,Millions
820,10000000.0,1.0,Millions
821,1325000.0,3.0,Millions
822,1520493.14,6.0,Millions
823,15009707.96,3.0,Millions
824,2521890.79,6.0,Millions
825,3000000.0,1.0,Millions
826,3333547.67,12.0,Millions
827,3681782.4,14.0,Millions
828,3031068.49,1.0,Millions
829,5200000.0,1.0,Millions
830,7190084.0,25.0,Millions
831,28750000.0,3.0,Millions
832,19000000.0,1.0,Millions
833,30000000.0,2.0,Millions
834,1171440.0,2.0,Millions
835,1560000.0,1.0,Millions
836,1624591.66,3.0,Millions
837,111491575.73,1.0,Millions
838,300000000.0,1.0,Millions
839,1000000.0,5.0,Millions
840,1042854.36,2.0,Millions
841,1154000.0,6.0,Millions
842,1243717.0,1.0,Millions
843,2103000.0,1.0,Millions
844,5600000.0,2.0,Millions
845,5550000.0,7.0,Millions
846,7000000.0,10.0,Millions
847,7000289.6,4.0,Millions
848,36162010.58,10.0,Millions
849,40289400.0,14.0,Millions
850,1135846.0,1.0,Millions
851,1850000.0,2.0,Millions
852,8500000.0,6.0,Millions
853,1596000.0,7.0,Millions
854,4499984.0,1.0,Millions
855,41440000.0,7.0,Millions
856,53038001.0,4.0,Millions
857,1148457.07,5.0,Millions
858,1281000.0,4.0,Millions
859,2024000.0,1.0,Millions
860,1262699.0,7.0,Millions
861,2373935.0,1.0,Millions
862,2389927.14,2.0,Millions
863,2610855.0,3.0,Millions
864,2992822.35,3.0,Millions
865,4416616.0,1.0,Millions
866,5973690.73,4.0,Millions
867,8100000.0,2.0,Millions
868,9180781.0,1.0,Millions
869,1549000.0,10.0,Millions
870,1804500.0,22.0,Millions
871,1900000.0,1.0,Millions
872,2139958.0,4.0,Millions
873,3092000.0,26.0,Millions
874,6167106.88,32.0,Millions
875,2574288.0,2.0,Millions
876,5632200.0,4.0,Millions
877,5662250.0,1.0,Millions
